name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"13.2422,77.7139",2023-01-01,28.0,15.0,21.2,27.4,15.0,21.1,13.9,67.9,0.0,0,0.0,,0,0,28.8,14.7,55.1,1020.0,14.8,5.2,242.0,20.7,9,10,2023-01-01T06:41:46,2023-01-01T18:03:20,0.3,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-02,27.0,15.6,20.7,26.6,15.6,20.7,14.0,71.0,0.0,0,0.0,,0,0,34.6,20.0,83.1,1019.8,23.1,5.5,247.3,21.5,9,10,2023-01-02T06:42:08,2023-01-02T18:03:54,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-03,25.0,16.0,20.2,25.0,16.0,20.2,14.8,74.7,0.0,0,0.0,,0,0,32.8,20.3,90.9,1020.0,39.7,5.1,237.4,20.5,9,10,2023-01-03T06:42:30,2023-01-03T18:04:28,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-04,25.0,17.0,20.2,25.0,17.0,20.2,15.2,77.0,0.0,0,0.0,rain,0,0,33.8,18.3,95.8,1019.0,48.8,4.6,244.2,21.1,9,10,2023-01-04T06:42:51,2023-01-04T18:05:02,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-05,23.9,15.1,19.6,23.9,15.1,19.6,15.3,78.9,0.0,0,0.0,rain,0,0,38.2,23.2,86.1,1019.3,51.8,4.0,197.5,17.0,8,10,2023-01-05T06:43:12,2023-01-05T18:05:36,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-06,26.0,15.0,19.6,26.0,15.0,19.6,15.2,79.1,0.0,0,0.0,rain,0,0,40.0,25.7,80.9,1020.4,53.2,4.4,227.7,19.7,9,10,2023-01-06T06:43:31,2023-01-06T18:06:10,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-07,25.5,16.0,19.9,25.5,16.0,19.9,16.0,80.8,0.0,0,0.0,,0,0,41.0,20.4,72.6,1020.1,58.1,4.8,165.0,14.2,7,10,2023-01-07T06:43:49,2023-01-07T18:06:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-08,25.0,16.0,19.8,25.0,16.0,19.8,14.6,75.6,0.0,0,0.0,,0,0,31.3,16.4,56.5,1018.9,53.6,4.1,240.0,20.8,9,10,2023-01-08T06:44:07,2023-01-08T18:07:19,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-09,25.5,12.1,18.5,25.5,12.1,18.5,8.5,60.5,0.0,0,0.0,,0,0,28.4,13.7,69.2,1019.5,33.6,4.7,258.8,22.4,9,10,2023-01-09T06:44:23,2023-01-09T18:07:53,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-10,27.0,12.1,18.5,26.2,12.1,18.4,10.0,65.4,0.0,0,0.0,,0,0,36.0,18.3,76.2,1019.4,27.9,5.8,259.8,22.4,9,10,2023-01-10T06:44:39,2023-01-10T18:08:27,0.61,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-11,28.0,12.5,19.4,26.7,12.5,19.3,8.7,59.5,0.0,0,0.0,,0,0,29.5,18.2,73.4,1017.6,5.9,7.0,262.3,22.7,9,10,2023-01-11T06:44:53,2023-01-11T18:09:01,0.64,Clear,Clear conditions throughout the day.,clear-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-12,28.0,12.1,20.0,26.7,12.1,19.7,7.7,55.3,0.0,0,0.0,,0,0,29.2,13.1,70.9,1016.5,8.4,5.9,261.7,22.7,9,10,2023-01-12T06:45:07,2023-01-12T18:09:35,0.68,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-13,28.0,12.5,19.9,26.7,12.5,19.7,9.6,59.6,0.0,0,0.0,,0,0,25.6,11.9,72.6,1016.7,20.5,6.4,256.7,22.2,9,10,2023-01-13T06:45:19,2023-01-13T18:10:08,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-14,28.0,13.1,19.8,26.8,13.1,19.6,9.6,61.5,0.0,0,0.0,,0,0,25.2,13.9,82.8,1016.8,32.8,5.9,261.7,22.6,9,10,2023-01-14T06:45:31,2023-01-14T18:10:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-15,28.1,11.5,20.0,26.7,11.5,19.8,8.3,56.4,0.0,0,0.0,,0,0,25.6,14.6,72.9,1015.9,18.2,7.2,267.4,23.1,9,10,2023-01-15T06:45:41,2023-01-15T18:11:15,0.75,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-16,28.0,9.6,19.5,26.8,9.2,19.3,8.9,59.6,0.0,0,0.0,,0,0,23.0,16.3,76.7,1016.5,15.8,6.2,263.9,22.8,9,10,2023-01-16T06:45:51,2023-01-16T18:11:48,0.81,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-17,28.0,13.0,20.1,26.7,13.0,19.9,8.8,59.5,0.0,0,0.0,,0,0,22.7,16.4,102.9,1017.1,20.8,5.5,263.8,22.6,9,10,2023-01-17T06:45:59,2023-01-17T18:12:21,0.85,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-18,28.0,13.1,19.4,26.8,13.1,19.2,11.9,70.4,0.0,0,0.0,,0,0,25.2,13.7,91.7,1018.5,28.9,6.0,251.3,21.6,9,10,2023-01-18T06:46:06,2023-01-18T18:12:53,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-19,26.6,14.0,19.7,26.6,14.0,19.7,9.7,63.3,0.0,0,0.0,,0,0,28.4,15.6,66.5,1018.7,23.6,5.6,263.6,22.6,9,10,2023-01-19T06:46:12,2023-01-19T18:13:25,0.91,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-20,24.5,13.5,19.0,24.5,13.5,19.0,13.8,75.0,0.0,0,0.0,,0,0,31.3,15.6,95.3,1018.3,38.4,4.8,252.5,21.9,9,10,2023-01-20T06:46:17,2023-01-20T18:13:57,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-21,25.6,16.0,20.0,25.6,16.0,20.0,14.7,74.9,0.0,0,0.0,,0,0,29.9,14.9,79.1,1017.7,53.9,4.0,188.5,16.5,6,10,2023-01-21T06:46:21,2023-01-21T18:14:28,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-22,26.0,14.5,19.8,26.0,14.5,19.8,13.5,72.3,0.0,0,0.0,,0,0,35.3,21.8,85.5,1016.8,28.2,5.8,254.4,21.8,9,10,2023-01-22T06:46:24,2023-01-22T18:14:59,0.0,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-23,22.5,14.6,18.8,22.5,14.6,18.8,16.7,88.2,0.0,0,0.0,,0,0,32.4,16.7,90.4,1016.3,31.7,4.7,180.6,15.7,8,10,2023-01-23T06:46:25,2023-01-23T18:15:30,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.2422,77.7139",2023-01-24,26.0,18.0,21.0,26.0,18.0,21.0,15.9,75.4,0.0,0,0.0,,0,0,29.2,17.8,99.8,1016.2,59.2,5.2,212.4,18.3,8,10,2023-01-24T06:46:26,2023-01-24T18:16:00,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,43272099999,VOBG,42705699999,VOBL,43302599999,43295099999"
