name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"12.8397,77.6792",2023-01-01,28.9,15.9,21.8,28.5,15.9,21.8,14.5,67.3,0.0,0.0,0.0,,0,0,27.4,14.6,64.6,1020.1,15.4,6.5,243.3,21.2,9,10,2023-01-01T06:41:11,2023-01-01T18:04:11,0.3,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-02,27.0,16.0,20.9,26.8,16.0,20.9,14.2,69.8,0.0,0.0,0.0,,0,0,32.0,16.3,86.9,1020.0,14.4,6.0,247.8,21.4,9,10,2023-01-02T06:41:34,2023-01-02T18:04:45,0.34,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-03,25.9,16.0,20.6,25.9,16.0,20.6,15.6,75.5,0.0,0.0,0.0,rain,0,0,32.4,14.9,92.0,1020.2,36.9,5.3,223.2,19.4,9,10,2023-01-03T06:41:56,2023-01-03T18:05:19,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-04,25.9,17.0,20.7,25.9,17.0,20.7,15.8,76.5,0.0,0.0,0.0,rain,0,0,32.4,17.5,94.2,1019.1,43.2,4.7,238.3,20.6,9,10,2023-01-04T06:42:17,2023-01-04T18:05:53,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-05,24.0,16.0,20.0,24.0,16.0,20.0,16.2,80.0,0.1,100.0,4.17,rain,0,0,38.2,22.1,87.6,1019.6,47.2,4.6,169.4,14.6,7,10,2023-01-05T06:42:38,2023-01-05T18:06:27,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-06,26.0,15.0,20.4,26.0,15.0,20.4,16.0,78.4,0.0,0.0,0.0,,0,0,40.0,24.1,81.3,1020.8,48.5,4.9,225.2,19.4,8,10,2023-01-06T06:42:57,2023-01-06T18:07:00,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-07,25.1,16.0,20.4,25.1,16.0,20.4,16.1,78.3,0.0,0.0,0.0,,0,0,40.3,17.9,76.7,1020.3,54.6,4.7,162.6,13.9,7,10,2023-01-07T06:43:16,2023-01-07T18:07:34,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-08,25.8,16.9,20.7,25.8,16.9,20.7,15.4,74.4,0.0,0.0,0.0,,0,0,30.2,13.7,54.4,1019.1,50.8,4.6,228.3,19.6,8,10,2023-01-08T06:43:34,2023-01-08T18:08:08,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-09,26.9,13.5,19.4,26.4,13.5,19.3,10.2,61.8,0.0,0.0,0.0,,0,0,29.2,12.7,80.6,1019.7,30.4,4.6,255.3,22.1,9,10,2023-01-09T06:43:50,2023-01-09T18:08:42,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-10,27.0,12.5,19.2,26.6,12.5,19.2,11.6,66.4,0.0,0.0,0.0,,0,0,34.6,16.1,77.4,1019.5,20.8,5.2,260.1,22.4,9,10,2023-01-10T06:44:06,2023-01-10T18:09:16,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-11,28.0,12.0,19.9,26.9,12.0,19.7,9.3,58.5,0.0,0.0,0.0,,0,0,28.8,14.8,90.8,1017.9,3.8,6.3,263.4,22.8,9,10,2023-01-11T06:44:21,2023-01-11T18:09:50,0.64,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-12,28.9,13.2,20.8,27.3,13.2,20.5,8.8,55.0,0.0,0.0,0.0,,0,0,29.5,12.5,82.9,1016.8,6.4,5.7,263.7,22.9,9,10,2023-01-12T06:44:35,2023-01-12T18:10:23,0.68,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-13,28.9,13.4,20.4,27.5,13.4,20.2,10.6,59.9,0.0,0.0,0.0,,0,0,23.0,14.1,84.0,1016.9,23.5,6.0,255.7,22.1,9,10,2023-01-13T06:44:48,2023-01-13T18:10:57,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.8397,77.6792",2023-01-14,28.9,14.0,20.5,27.4,14.0,20.2,10.3,60.8,0.0,0.0,0.0,,0,0,24.1,11.4,77.4,1017.0,25.6,5.5,262.6,22.7,9,10,2023-01-14T06:45:00,2023-01-14T18:11:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
