name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"13.0358,77.5912",2023-01-01,28.8,15.8,21.8,28.3,15.8,21.7,14.3,66.5,0.0,0.0,0.0,,0,0,26.3,14.4,64.6,1020.1,18.4,6.3,242.0,20.7,9,10,2023-01-01T06:41:53,2023-01-01T18:04:12,0.3,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-02,27.0,16.0,21.0,26.8,16.0,20.9,14.0,69.1,0.0,0.0,0.0,,0,0,33.5,16.0,87.6,1019.9,19.9,5.9,248.1,21.5,9,10,2023-01-02T06:42:16,2023-01-02T18:04:45,0.34,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-03,25.8,16.0,20.6,25.8,16.0,20.6,15.4,74.8,0.0,0.0,0.0,,0,0,32.4,15.1,93.2,1020.2,37.6,5.4,237.0,20.7,9,10,2023-01-03T06:42:38,2023-01-03T18:05:19,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-04,25.8,17.0,20.6,25.8,17.0,20.6,15.6,75.9,0.0,0.0,0.0,rain,0,0,33.1,17.0,98.9,1018.9,46.3,4.8,245.9,21.2,9,10,2023-01-04T06:42:59,2023-01-04T18:05:53,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-05,24.0,16.0,20.0,24.0,16.0,20.0,15.9,79.2,0.0,0.0,0.0,,0,0,37.4,21.7,90.3,1019.5,50.1,4.7,198.6,17.0,8,10,2023-01-05T06:43:19,2023-01-05T18:06:27,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-06,25.9,15.0,20.3,25.9,15.0,20.3,15.8,78.1,0.0,0.0,0.0,,0,0,38.9,24.1,82.7,1020.8,50.8,4.9,232.2,19.9,9,10,2023-01-06T06:43:39,2023-01-06T18:07:01,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-07,25.1,16.0,20.4,25.1,16.0,20.4,16.0,78.1,0.0,0.0,0.0,,0,0,40.7,17.4,76.5,1020.2,57.3,4.8,172.5,15.1,8,10,2023-01-07T06:43:57,2023-01-07T18:07:35,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-08,25.6,16.8,20.6,25.6,16.8,20.6,15.2,74.1,0.0,0.0,0.0,,0,0,29.9,12.1,57.9,1019.0,52.2,4.6,232.2,19.9,8,10,2023-01-08T06:44:15,2023-01-08T18:08:09,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-09,26.7,13.5,19.3,26.7,13.5,19.3,9.9,61.1,0.0,0.0,0.0,,0,0,28.4,12.4,80.4,1019.7,30.9,4.7,257.1,22.2,9,10,2023-01-09T06:44:32,2023-01-09T18:08:43,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-10,27.0,12.5,19.2,26.5,12.5,19.2,11.2,65.7,0.0,0.0,0.0,,0,0,34.9,15.6,79.9,1019.5,22.6,5.4,261.4,22.6,9,10,2023-01-10T06:44:47,2023-01-10T18:09:17,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-11,28.0,12.1,19.9,26.8,12.1,19.7,9.2,58.2,0.0,0.0,0.0,,0,0,28.8,14.8,89.1,1017.8,9.0,6.4,263.3,22.8,9,10,2023-01-11T06:45:02,2023-01-11T18:09:51,0.64,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-12,28.8,13.5,20.8,27.2,13.5,20.5,8.5,54.3,0.0,0.0,0.0,,0,0,29.2,11.8,83.0,1016.7,9.1,5.8,262.4,22.8,9,10,2023-01-12T06:45:16,2023-01-12T18:10:25,0.68,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-13,28.8,13.5,20.4,27.4,13.5,20.2,10.5,59.4,0.0,0.0,0.0,,0,0,22.3,13.2,83.8,1016.8,25.3,6.1,256.6,22.1,9,10,2023-01-13T06:45:28,2023-01-13T18:10:58,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-14,28.8,14.0,20.4,27.3,14.0,20.2,10.1,60.4,0.0,0.0,0.0,,0,0,24.1,11.7,78.8,1017.0,29.1,5.6,260.6,22.5,9,10,2023-01-14T06:45:40,2023-01-14T18:11:32,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-15,29.6,12.5,20.5,27.8,12.5,20.2,9.5,57.0,0.0,0.0,0.0,,0,0,22.7,12.6,80.7,1016.0,21.6,6.1,266.9,22.9,9,10,2023-01-15T06:45:50,2023-01-15T18:12:05,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-16,28.8,13.0,20.9,27.4,13.0,20.6,9.9,56.7,0.0,0.0,0.0,,0,0,20.9,16.4,80.9,1016.6,12.4,6.4,264.0,22.8,9,10,2023-01-16T06:46:00,2023-01-16T18:12:37,0.81,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-17,28.8,13.5,20.3,27.2,13.5,20.0,10.2,61.7,0.0,0.0,0.0,,0,0,22.3,14.8,102.9,1017.5,14.4,5.4,263.6,22.7,9,10,2023-01-17T06:46:08,2023-01-17T18:13:10,0.85,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-18,28.0,13.5,19.7,27.0,13.5,19.6,12.4,70.0,0.0,0.0,0.0,,0,0,24.1,14.0,92.0,1019.6,25.5,5.5,256.8,22.2,9,10,2023-01-18T06:46:16,2023-01-18T18:13:42,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-19,27.7,14.8,20.4,26.6,14.8,20.3,10.8,62.8,0.0,0.0,0.0,,0,0,26.3,15.4,81.5,1019.0,14.8,5.7,261.5,22.5,9,10,2023-01-19T06:46:22,2023-01-19T18:14:14,0.91,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-20,25.7,14.0,19.6,25.7,14.0,19.6,14.5,74.8,0.0,0.0,0.0,,0,0,30.2,17.8,95.8,1019.0,33.7,5.3,256.5,22.1,9,10,2023-01-20T06:46:27,2023-01-20T18:14:45,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-21,25.9,16.8,20.4,25.9,16.8,20.4,15.3,75.1,0.0,0.0,0.0,,0,0,30.6,15.0,88.9,1018.0,52.5,4.3,220.6,19.0,8,10,2023-01-21T06:46:32,2023-01-21T18:15:16,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-22,26.8,15.0,20.3,26.4,15.0,20.3,13.7,70.6,0.0,0.0,0.0,,0,0,34.2,17.6,89.2,1017.0,30.5,5.5,253.9,21.9,9,10,2023-01-22T06:46:35,2023-01-22T18:15:47,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-23,23.7,15.0,19.3,23.7,15.0,19.3,16.3,83.7,0.0,0.0,0.0,,0,0,31.7,15.6,89.9,1016.6,33.8,5.0,190.2,16.4,8,10,2023-01-23T06:46:36,2023-01-23T18:16:17,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-24,26.0,18.0,21.4,26.0,18.0,21.4,16.5,76.0,0.0,0.0,0.0,,0,0,29.2,14.8,102.9,1016.4,55.8,5.0,198.4,17.1,8,10,2023-01-24T06:46:37,2023-01-24T18:16:47,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-25,27.8,15.5,20.7,27.1,15.5,20.6,13.5,67.8,0.0,0.0,0.0,,0,0,26.3,15.8,97.6,1016.3,31.9,5.6,252.3,21.7,9,10,2023-01-25T06:46:37,2023-01-25T18:17:17,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-26,27.9,15.8,20.8,26.8,15.8,20.7,12.9,66.8,0.0,0.0,0.0,,0,0,24.1,13.6,102.0,1016.4,27.6,5.2,265.6,22.9,9,10,2023-01-26T06:46:35,2023-01-26T18:17:45,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-27,28.0,16.7,21.3,27.0,16.7,21.1,13.0,65.2,0.0,0.0,0.0,,0,0,26.3,14.8,95.9,1016.5,19.6,4.8,262.7,22.7,9,10,2023-01-27T06:46:33,2023-01-27T18:18:14,0.18,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"13.0358,77.5912",2023-01-28,27.8,14.0,20.8,26.9,14.0,20.7,10.7,58.5,0.0,0.0,0.0,,0,0,32.0,19.7,81.7,1015.9,8.7,6.1,270.3,23.2,9,10,2023-01-28T06:46:29,2023-01-28T18:18:42,0.25,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
