name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"12.9366,77.4903",2023-01-01,28.8,15.8,21.8,28.3,15.8,21.8,14.4,66.5,0,0,0,,0,0,26.3,14.4,65.6,1020.1,17.7,6.4,242,20.7,9,10,2023-01-01T06:42:07,2023-01-01T18:04:46,0.3,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-02,27,16,21,26.8,16,20.9,14.1,69.1,0,0,0,,0,0,33.5,16.1,87.9,1019.9,18.4,5.9,248.1,21.5,9,10,2023-01-02T06:42:29,2023-01-02T18:05:20,0.34,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-03,25.8,16,20.6,25.8,16,20.6,15.4,74.8,0,0,0,,0,0,32.4,15.1,93.3,1020.2,37.7,5.4,237,20.7,9,10,2023-01-03T06:42:52,2023-01-03T18:05:54,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-04,25.8,17,20.7,25.8,17,20.7,15.7,76,0,0,0,rain,0,0,33.1,16.9,98.3,1019,45.7,4.9,245.9,21.2,9,10,2023-01-04T06:43:13,2023-01-04T18:06:28,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-05,24,16,20,24,16,20,16,79.3,0,0,0,,0,0,37.4,21.8,90.3,1019.6,50,4.7,198.6,17,8,10,2023-01-05T06:43:33,2023-01-05T18:07:02,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-06,25.9,15,20.3,25.9,15,20.3,15.9,78.1,0,0,0,,0,0,38.9,24.1,82.5,1020.8,50.4,5,232.2,19.9,9,10,2023-01-06T06:43:53,2023-01-06T18:07:36,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-07,25.1,16,20.4,25.1,16,20.4,16,78,0,0,0,,0,0,40.7,17.4,76.7,1020.2,57.1,4.8,172.5,15.1,8,10,2023-01-07T06:44:11,2023-01-07T18:08:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-08,25.7,16.8,20.7,25.7,16.8,20.7,15.3,74.1,0,0,0,,0,0,29.9,11.9,57.4,1019.1,52.3,4.6,232.2,19.9,8,10,2023-01-08T06:44:29,2023-01-08T18:08:44,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-09,26.7,13.5,19.4,26.6,13.5,19.4,10,61.2,0,0,0,,0,0,28.4,12.5,81.3,1019.7,30.9,4.8,257.1,22.2,9,10,2023-01-09T06:44:46,2023-01-09T18:09:18,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-10,27,12.5,19.3,26.5,12.5,19.2,11.4,65.8,0,0,0,,0,0,34.9,15.8,79.8,1019.5,21.9,5.4,261.4,22.6,9,10,2023-01-10T06:45:01,2023-01-10T18:09:52,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-11,28,12.1,20,26.8,12.1,19.8,9.2,58.2,0,0,0,,0,0,28.8,14.8,91,1017.8,6.5,6.4,263.3,22.8,9,10,2023-01-11T06:45:16,2023-01-11T18:10:25,0.64,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-12,28.8,13.5,20.8,27.2,13.5,20.5,8.6,54.3,0,0,0,,0,0,29.2,12,84.1,1016.7,8.3,5.8,262.4,22.8,9,10,2023-01-12T06:45:30,2023-01-12T18:10:59,0.68,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-13,28.8,13.5,20.4,27.4,13.5,20.2,10.5,59.3,0,0,0,,0,0,22.3,13.5,84.7,1016.8,25.6,6.1,256.6,22.1,9,10,2023-01-13T06:45:43,2023-01-13T18:11:32,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-14,28.8,14,20.5,27.3,14,20.2,10.1,60.3,0,0,0,,0,0,24.1,11.6,78.8,1017,29.2,5.6,260.6,22.5,9,10,2023-01-14T06:45:54,2023-01-14T18:12:06,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-15,29.6,12.5,20.5,27.9,12.5,20.3,9.5,57,0,0,0,,0,0,22.7,12.6,81.8,1016,21.8,6,266.9,22.9,9,10,2023-01-15T06:46:05,2023-01-15T18:12:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-16,28.9,13,21,27.4,13,20.7,9.9,56.6,0,0,0,,0,0,20.9,16.4,81.5,1016.6,12.1,6.4,264,22.8,9,10,2023-01-16T06:46:15,2023-01-16T18:13:11,0.81,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-17,28.8,13.5,20.3,27.3,13.5,20,10.2,61.8,0,0,0,,0,0,22.3,14.8,103.1,1017.5,14,5.4,263.6,22.7,9,10,2023-01-17T06:46:23,2023-01-17T18:13:44,0.85,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-18,28,13.5,19.7,27,13.5,19.6,12.4,69.9,0,0,0,,0,0,24.1,14.1,92.3,1019.7,25.3,5.5,256.8,22.2,9,10,2023-01-18T06:46:31,2023-01-18T18:14:16,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-19,27.7,14.8,20.4,26.6,14.8,20.3,10.9,62.7,0,0,0,,0,0,26.3,15.6,82.6,1019,14.2,5.7,261.5,22.5,9,10,2023-01-19T06:46:37,2023-01-19T18:14:47,0.91,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-20,25.7,14,19.7,25.7,14,19.7,14.6,74.7,0,0,0,,0,0,30.2,17.9,95.9,1019,33.4,5.3,256.5,22.1,9,10,2023-01-20T06:46:42,2023-01-20T18:15:19,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-21,25.9,16.8,20.4,25.9,16.8,20.4,15.3,75.1,0,0,0,,0,0,30.6,15.3,89.6,1018,52.5,4.3,220.6,19,8,10,2023-01-21T06:46:47,2023-01-21T18:15:50,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-22,26.8,15,20.3,26.5,15,20.3,13.7,70.4,0,0,0,,0,0,34.2,17.7,89.5,1017,30.8,5.4,253.9,21.9,9,10,2023-01-22T06:46:50,2023-01-22T18:16:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-23,23.7,15,19.4,23.7,15,19.4,16.3,83.3,0,0,0,,0,0,31.7,15.8,90,1016.6,34,5,190.2,16.4,8,10,2023-01-23T06:46:52,2023-01-23T18:16:50,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-24,26,18,21.4,26,18,21.4,16.6,76,0,0,0,,0,0,29.2,14.8,103.1,1016.4,55.7,5,198.4,17.1,8,10,2023-01-24T06:46:53,2023-01-24T18:17:20,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-25,27.8,15.5,20.7,27.1,15.5,20.6,13.5,67.7,0,0,0,,0,0,26.3,15.9,97.4,1016.3,31.8,5.6,252.3,21.7,9,10,2023-01-25T06:46:53,2023-01-25T18:17:49,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-26,27.9,15.8,20.8,26.9,15.8,20.7,12.9,66.8,0,0,0,,0,0,24.1,13.8,102.5,1016.4,27.7,5.2,265.6,22.9,9,10,2023-01-26T06:46:51,2023-01-26T18:18:18,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-27,28,16.7,21.3,27,16.7,21.2,13,65.1,0,0,0,,0,0,26.3,14.8,96.2,1016.5,19.7,4.8,262.7,22.7,9,10,2023-01-27T06:46:49,2023-01-27T18:18:46,0.18,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-28,27.8,14,20.8,26.9,14,20.7,10.8,58.4,0,0,0,,0,0,32,19.8,82.1,1015.9,8.7,6.2,270.3,23.2,9,10,2023-01-28T06:46:45,2023-01-28T18:19:14,0.25,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-29,28.3,14,21.1,27.3,14,20.9,12.7,63.2,0,0,0,,0,0,38.9,22.6,77.3,1014.9,7.2,6,267.3,23,9,10,2023-01-29T06:46:41,2023-01-29T18:19:41,0.25,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9366,77.4903",2023-01-30,26.9,17,21.9,27.5,17,22,17.3,77.3,0.3,100,12.5,rain,0,0,25.2,18.6,79.7,1016.1,40.7,5.7,182.3,15.6,8,10,2023-01-30T06:46:35,2023-01-30T18:20:08,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
