name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"12.9698,77.7498",2023-01-01,28.9,15.9,21.8,28.4,15.9,21.7,14.5,67.5,0.0,0.0,0.0,,0,0,28.4,14.5,63.9,1020.1,14.3,6.5,243.1,20.9,9,10,2023-01-01T06:41:08,2023-01-01T18:03:40,0.3,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-02,27.0,16.0,20.9,26.8,16.0,20.9,14.2,70.0,0.0,0.0,0.0,,0,0,33.1,16.2,86.5,1020.0,14.1,6.0,248.2,21.5,9,10,2023-01-02T06:41:31,2023-01-02T18:04:14,0.34,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-03,25.9,16.0,20.6,25.9,16.0,20.6,15.6,75.5,0.0,0.0,0.0,,0,0,33.5,15.0,92.4,1020.2,37.1,5.3,230.9,20.0,9,10,2023-01-03T06:41:53,2023-01-03T18:04:48,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-04,25.9,17.0,20.7,25.9,17.0,20.7,15.8,76.6,0.0,0.0,0.0,rain,0,0,33.5,17.1,93.5,1019.1,43.1,4.7,240.6,20.8,9,10,2023-01-04T06:42:14,2023-01-04T18:05:22,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-05,24.0,15.9,20.0,24.0,15.9,20.0,16.2,80.0,0.0,0.0,0.0,,0,0,38.2,21.9,86.8,1019.6,47.2,4.6,181.9,15.8,8,10,2023-01-05T06:42:34,2023-01-05T18:05:56,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-06,26.0,15.0,20.3,26.0,15.0,20.3,16.0,78.5,0.0,0.0,0.0,,0,0,40.3,24.1,80.8,1020.8,48.6,4.8,229.0,19.8,9,10,2023-01-06T06:42:54,2023-01-06T18:06:30,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-07,25.1,16.0,20.4,25.1,16.0,20.4,16.1,78.5,0.0,0.0,0.0,,0,0,41.0,17.6,76.7,1020.2,54.5,4.8,166.9,14.3,7,10,2023-01-07T06:43:12,2023-01-07T18:07:04,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-08,25.7,16.9,20.7,25.7,16.9,20.7,15.4,74.5,0.0,0.0,0.0,,0,0,30.6,14.1,53.8,1019.1,51.0,4.6,235.6,20.4,9,10,2023-01-08T06:43:30,2023-01-08T18:07:38,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-09,26.8,13.5,19.4,26.4,13.5,19.3,10.2,61.8,0.0,0.0,0.0,,0,0,29.2,12.6,79.9,1019.7,30.7,4.6,258.0,22.3,9,10,2023-01-09T06:43:47,2023-01-09T18:08:12,0.58,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-10,27.0,12.5,19.2,26.5,12.5,19.2,11.6,66.5,0.0,0.0,0.0,,0,0,36.0,15.9,77.1,1019.5,20.6,5.3,260.2,22.6,9,10,2023-01-10T06:44:02,2023-01-10T18:08:46,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-11,28.0,12.1,19.9,26.9,12.1,19.8,9.3,58.7,0.0,0.0,0.0,,0,0,29.9,14.9,90.5,1017.9,3.1,6.4,263.3,22.8,9,10,2023-01-11T06:44:17,2023-01-11T18:09:20,0.64,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-12,28.9,13.1,20.8,27.3,13.1,20.5,8.8,55.0,0.0,0.0,0.0,,0,0,30.2,12.2,82.0,1016.7,5.6,5.7,263.0,22.7,9,10,2023-01-12T06:44:31,2023-01-12T18:09:53,0.68,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-13,28.9,13.3,20.4,27.4,13.3,20.1,10.6,60.0,0.0,0.0,0.0,,0,0,24.8,13.8,83.7,1016.9,23.1,6.1,256.4,22.1,9,10,2023-01-13T06:44:44,2023-01-13T18:10:27,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-14,28.9,14.0,20.4,27.3,14.0,20.2,10.2,60.9,0.0,0.0,0.0,,0,0,25.2,11.5,77.5,1017.0,25.2,5.5,262.1,22.6,9,10,2023-01-14T06:44:55,2023-01-14T18:11:00,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-15,29.7,12.5,20.5,28.0,12.5,20.2,9.6,57.6,0.0,0.0,0.0,,0,0,24.1,12.7,82.3,1016.1,19.3,6.0,267.4,23.1,9,10,2023-01-15T06:45:06,2023-01-15T18:11:33,0.75,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-16,28.9,13.0,21.0,27.4,13.0,20.7,9.9,56.6,0.0,0.0,0.0,,0,0,22.0,16.4,81.9,1016.6,7.4,6.4,264.9,22.8,9,10,2023-01-16T06:45:16,2023-01-16T18:12:06,0.81,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-17,28.9,13.5,20.2,27.3,13.5,19.9,10.3,62.4,0.0,0.0,0.0,,0,0,23.8,14.8,102.8,1017.5,13.3,5.3,262.0,22.5,9,10,2023-01-17T06:45:24,2023-01-17T18:12:38,0.85,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-18,28.0,13.5,19.7,27.0,13.5,19.5,12.6,70.9,0.0,0.0,0.0,,0,0,25.2,14.3,90.0,1019.1,23.2,5.4,247.9,21.4,9,10,2023-01-18T06:45:32,2023-01-18T18:13:10,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-19,27.8,14.9,20.4,26.7,14.9,20.2,11.1,63.5,0.0,0.0,0.0,,0,0,27.7,15.8,80.0,1019.1,11.2,5.6,262.3,22.6,9,10,2023-01-19T06:45:38,2023-01-19T18:13:42,0.91,Clear,Clear conditions throughout the day.,clear-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-20,25.8,14.0,19.6,25.8,14.0,19.6,14.7,75.5,0.0,0.0,0.0,,0,0,32.4,18.0,94.5,1018.9,31.1,5.2,245.8,21.4,9,10,2023-01-20T06:45:43,2023-01-20T18:14:13,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
"12.9698,77.7498",2023-01-21,25.9,16.9,20.4,25.9,16.9,20.4,15.3,75.3,0.0,0.0,0.0,,0,0,30.2,15.6,89.1,1018.0,51.2,4.1,186.1,16.2,7,10,2023-01-21T06:45:47,2023-01-21T18:14:44,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43296099999,VOBG,42705699999,VOBL,43302599999,43295099999"
